SpeciesName,longitude,latitude,Bio1,Bio12,TempMin,TempMax,PrecMin,PrecMax
Amaranthus_cruentus_L.,10.803,59.66,61,767,40,300,300,2800
Amaranthus_cruentus_L.,11.397,59.36,60,801,40,300,300,2800
Amaranthus_cruentus_L.,10.771,59.922,52,778,40,300,300,2800
Amaranthus_cruentus_L.,9.671,59.099,65,762,40,300,300,2800
Amaranthus_cruentus_L.,-2.074,52.552,91,719,40,300,300,2800
Amaranthus_cruentus_L.,-1.926,52.463,90,717,40,300,300,2800
Amaranthus_cruentus_L.,-2.074,52.463,90,726,40,300,300,2800
Amaranthus_cruentus_L.,-1.926,52.552,92,715,40,300,300,2800
Amaranthus_cruentus_L.,-1.324,53.36,94,699,40,300,300,2800
Amaranthus_cruentus_L.,-4.253,51.902,100,1062,40,300,300,2800
Amaranthus_cruentus_L.,-0.909,51.918,96,635,40,300,300,2800
Amaranthus_cruentus_L.,-1.348,51.741,97,630,40,300,300,2800
Amaranthus_cruentus_L.,-0.488,51.464,104,629,40,300,300,2800
Amaranthus_cruentus_L.,-0.208,51.28,98,698,40,300,300,2800
Amaranthus_cruentus_L.,-1.766,54.979,82,687,40,300,300,2800
Amaranthus_cruentus_L.,-0.92,51.469,98,705,40,300,300,2800
Amaranthus_cruentus_L.,-0.882,52.997,98,600,40,300,300,2800
Amaranthus_cruentus_L.,-2.987,53.807,89,932,40,300,300,2800
Amaranthus_cruentus_L.,-4.039,50.376,103,994,40,300,300,2800
Amaranthus_cruentus_L.,-2.873,55.605,73,924,40,300,300,2800
Amaranthus_cruentus_L.,-5.297,50.258,100,1068,40,300,300,2800
Amaranthus_cruentus_L.,-2.892,56.414,82,667,40,300,300,2800
Amaranthus_cruentus_L.,-1.613,54.619,84,711,40,300,300,2800
Amaranthus_cruentus_L.,-3.302,54.164,88,951,40,300,300,2800
Amaranthus_cruentus_L.,1.276,51.967,102,557,40,300,300,2800
Amaranthus_cruentus_L.,-7.37,57.111,82,1245,40,300,300,2800
Amaranthus_cruentus_L.,-4.648,56.029,83,1508,40,300,300,2800
Amaranthus_cruentus_L.,-0.774,51.557,98,680,40,300,300,2800
Amaranthus_cruentus_L.,-1.779,52.462,92,680,40,300,300,2800
Amaranthus_cruentus_L.,-0.179,51.999,97,625,40,300,300,2800
Amaranthus_cruentus_L.,0.249,51.812,99,605,40,300,300,2800
Amaranthus_cruentus_L.,0.722,52.431,94,597,40,300,300,2800
Amaranthus_cruentus_L.,-4.18,50.374,105,991,40,300,300,2800
Amaranthus_cruentus_L.,-3.212,51.018,95,932,40,300,300,2800
Amaranthus_cruentus_L.,-1.077,50.84,102,833,40,300,300,2800
Amaranthus_cruentus_L.,-0.779,51.377,96,749,40,300,300,2800
Amaranthus_cruentus_L.,0.253,51.902,96,593,40,300,300,2800
Amaranthus_cruentus_L.,-3.874,53.257,90,959,40,300,300,2800
Amaranthus_cruentus_L.,-0.766,51.827,97,642,40,300,300,2800
Amaranthus_cruentus_L.,-1.2,51.92,94,619,40,300,300,2800
Amaranthus_cruentus_L.,0.104,51.814,100,614,40,300,300,2800
Amaranthus_cruentus_L.,-2.783,50.931,95,813,40,300,300,2800
Amaranthus_cruentus_L.,-2.523,53.091,93,784,40,300,300,2800
